gender,age_group,patient-I49
Female,00-04,41
Female,05-09,28
Female,10-14,35
Female,15-19,41
Female,20-24,54
Female,25-29,58
Female,30-34,58
Female,35-39,87
Female,40-44,91
Female,45-49,134
Female,50-54,149
Female,55-59,146
Female,60-64,233
Female,65-69,260
Female,70-74,201
Female,75-79,181
Female,80-84,172
Female,85-89,120
Female,90+,86
Male,00-04,32
Male,05-09,44
Male,10-14,46
Male,15-19,45
Male,20-24,37
Male,25-29,45
Male,30-34,45
Male,35-39,63
Male,40-44,65
Male,45-49,87
Male,50-54,132
Male,55-59,184
Male,60-64,194
Male,65-69,225
Male,70-74,229
Male,75-79,181
Male,80-84,120
Male,85-89,97
Male,90+,48
