gender,age_group,patient-M81
Female,00-04,1
Female,15-19,3
Female,20-24,5
Female,25-29,5
Female,30-34,12
Female,35-39,22
Female,40-44,34
Female,45-49,50
Female,50-54,168
Female,55-59,380
Female,60-64,667
Female,65-69,1131
Female,70-74,981
Female,75-79,856
Female,80-84,713
Female,85-89,524
Female,90+,338
Male,05-09,1
Male,10-14,2
Male,15-19,5
Male,20-24,6
Male,25-29,8
Male,30-34,7
Male,35-39,3
Male,40-44,8
Male,45-49,19
Male,50-54,34
Male,55-59,46
Male,60-64,73
Male,65-69,94
Male,70-74,88
Male,75-79,92
Male,80-84,61
Male,85-89,56
Male,90+,24
